IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,isStatic_method,is_feature_envy
ESII_82785_82699,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_82785_82699,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_74292_82285_82579_82620_82906,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_74292_82285_82579_82620_82906,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_74292_82285_82579_82620_82906,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_69327_73512_78145_78188_78278_83159,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_69327_73512_78145_78188_78278_83159,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_69327_73512_78145_78188_78278_83159,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_82036_91543_91885,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_82036_91543_91885,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_82036_91543_91885,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_78329_82018_82145_82217_82331_82980,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,FALSE
ESII_78329_82018_82145_82217_82331_82980,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_78329_82018_82145_82217_82331_82980,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII_78116_82190_82421_82511_83112_83667,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_78116_82190_82421_82511_83112_83667,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_78116_82190_82421_82511_83112_83667,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_68625_74464_82426_82799,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_68625_74464_82426_82799,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_68625_74464_82426_82799,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_77651_82311_82945,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII_77651_82311_82945,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII_77651_82311_82945,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,TRUE
ESII,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,com.jasml.decompiler.SourceCodeBuilder::toString(com.jasml.classes.Attribute_LineNumberTable):java.lang.String,1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,13,1,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,2,0,0,4,27,0,0,0,0,31,1,0,0,1,30,29,0,2,0,2,0,0,0,TRUE
ESII,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassHeader():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
ESII,jasml-0.10,com.jasml.compiler,JavaClassDumpper,com.jasml.compiler.JavaClassDumpper::dumpClassInfo():void,0,0,3,1,0,1,5,1,0,0,0,5,0.4,0,0,2,0,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,100,1,2639,109,4,48,1,245,233,6694,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,3,0,0,0,FALSE
